問題ID,分野,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正答,キーワード,解説
98,整形,ヤーガソンテスト陽性の痛みに対する罹患局所への施術部位で適切なのはどれか。,肩関節前面,上腕後側,前頸部,後頸部,1,二頭筋長頭 結節間溝,ヤーガソンは肩前面（結節間溝）
99,整形,長母指外転筋の腱鞘炎に対し、罹患局所への治療穴で適切なのはどれか。,陽谷,曲沢,外関,偏歴,4,ドケルバン 偏歴,橈側手関節は偏歴が適切
100,整形,次の文で示す患者の病態に対して施術の対象となる靭帯で適切なのはどれか。「20歳の女性。陸上の長距離選手。最近、ランニング中に左膝関節の外側部に痛みを感じる。グラスピングテスト陽性。内反ストレステスト陽性。」,膝蓋靱帯,腸脛靱帯,前十字靱帯,外側側副靱帯,4,外側側副靱帯 内反ストレス,内反ストレス陽性はLCL
101,整形,スポーツ傷害と罹患局所の組み合わせで適切でないのはどれか。,シンスプリント—後脛骨筋,上腕骨外側上顆炎—橈側手根屈筋,野球肩—回旋筋腱板,足関節捻挫—前距腓靱帯,2,テニス肘 伸筋群,外側上顆炎は伸筋で屈筋は誤り
102,整形,次の文で示す患者の病態に対し、施術の対象とされる局所部位はどれか。「45歳の男性。3か月前からボーリングを始めた。最近、投球動作で右肩に痛みが生じた。ペインフルアークサイン陰性。スピードテスト陽性。」,結節間溝部,肩甲骨棘下部,肩甲間部,上腕二頭筋部,1,スピード 二頭筋長頭,スピード陽性は結節間溝
103,整形,スポーツ障害と罹患局所への治療穴の組合せで適切でないのはどれか。,水泳肩—肩髃,野球肘—少海,ジャンパー膝—承筋,シンスプリント—三陰交,3,ジャンパー膝 四頭筋,ジャンパー膝は大腿四頭筋で承筋は不適切
104,整形,スポーツ障害と局所施術の対象となる筋との組合せで誤っているのはどれか。,野球肩—棘上筋,テニス肘—橈側手根伸筋,アキレス腱炎—下腿三頭筋,ジャンパー膝—大腿二頭筋,4,ジャンパー膝 四頭筋,ジャンパー膝は大腿四頭筋であり誤り
105,整形,「17歳の男性。2か月前から陸上の練習中に右脛骨の下1/3に疼痛があり、徐々に歩行が困難となった。エックス線像に骨折の所見はない。知覚異常はないが足の屈曲(底屈)内反の抵抗運動で疼痛が誘発される。」最も考えられるのはどれか。,有痛性外脛骨,オスグッド病,コンパートメント症候群,シンスプリント,4,シンスプリント 脛骨痛,脛骨下1/3＋運動痛はシンスプリント
106,整形,「17歳の男性。2か月前から陸上の練習中に右脛骨の下1/3に疼痛があり、徐々に歩行が困難となった。エックス線像に骨折の所見はない。知覚異常はないが足の屈曲(底屈)内反の抵抗運動で疼痛が誘発される。」施術対象とする罹患筋で適切なのはどれか。,前脛骨筋,後脛骨筋,長腓骨筋,短腓骨筋,2,後脛骨筋 シンスプリント,内反＋底屈で後脛骨筋
107,整形,野球の投球動作でフォロースルー（腕の振り抜き期）に肩後面に痛みがみられるとき、局所施術穴として適切なのはどれか。,天井,天宗,天府,天髎,2,肩後面 天宗,肩甲骨外側で天宗
108,整形,次の文で示す患者の病態に対し、施術対象となる罹患筋はどれか。「35歳の女性。週3回テニススクールに通っている。ラケットを握ってから肘の外側に痛みがある。」,尺側手根屈筋,橈側手根屈筋,短橈側手根伸筋,長掌筋,3,テニス肘 伸筋群,外側上顆炎は短橈側手根伸筋
109,整形,膝蓋靱帯炎で施術対象となる罹患筋はどれか。,大腿筋膜張筋,大腿直筋,前脛骨筋,腓腹筋,2,ジャンパー膝 四頭筋,膝蓋靱帯炎は大腿直筋を含む四頭筋
110,整形,シンスプリントに対し、施術対象となる罹患筋はどれか。,腓腹筋,上腕二頭筋,後脛骨筋,大腿四頭筋,3,シンスプリント 後脛骨筋,脛骨内側痛と内反底屈で後脛骨筋
111,整形,「18歳の男性。野球の投手。2か月前より投球動作時に肩関節前面に痛みを自覚する。上腕二頭筋長頭腱部に著明な圧痛がみられる。」病態の確認を目的として行う理学検査で適切なのはどれか。,ジャクソンテスト,ドロップアームサイン,モーリーテスト,ヤーガソンテスト,4,二頭筋長頭 ヤーガソン,結節間溝痛＋投球でヤーガソン
112,整形,「18歳の男性。野球の投手。2か月前より投球動作時に肩関節前面に痛みを自覚する。上腕二頭筋長頭腱部に著明な圧痛がみられる。」病態に対する局所施術部位で適切なのはどれか。,前胸部,結節間溝部,棘上部,棘下部,2,二頭筋長頭 結節間溝,局所は結節間溝
113,整形,「21歳の男性。サッカーの試合で転倒した際に左足首を内側にひねった。足首に疼痛と腫脹がある。」足関節の内がえしで最も伸展される部位を走行する経脈はどれか。,腎経,肝経,膀胱経,胆経,4,内反 胆経 外側,内返しで外側構造伸張→胆経
114,整形,「22歳の男性。テニスの選手。バックハンドストロークの際に肘に痛みを自覚する。」病態の確認を目的として行う理学検査で適切でないのはどれか。,トムゼンテスト,中指伸展テスト,チェアテスト,ファレンテスト,4,テニス肘 正中神経,ファレンは手根管で無関係
115,整形,「22歳の男性。テニスの選手。バックハンドストロークの際に肘に痛みを自覚する。」罹患筋への局所治療穴として適切なのはどれか。,少海,手三里,神門,尺沢,2,テニス肘 手三里,外側上顆炎で手三里
116,整形,次の文で示す患者の病態に対し、局所施術の対象となるのはどれか。「21歳の男性。陸上の長距離選手。ランニング中に右膝外側が痛む。」,膝蓋靱帯,半膜様筋,腸脛靱帯,縫工筋,3,ランナー膝 腸脛靱帯,膝外側痛は腸脛靱帯
117,整形,次の文で示す患者の病態に対し、罹患部への局所治療穴として適切なのはどれか。「23歳の女性。バレーボール選手。スパイクの着地時に膝前面が痛む。」,委陽,曲泉,犢鼻,陽陵泉,3,ジャンパー膝 犢鼻,膝前面痛は膝蓋靱帯部で犢鼻
118,整形,疾患と施術部位との組合せで適切でないのはどれか。,円回内筋症候群—前腕前側,テニス肘—肘関節外側,ドケルバン病—手関節尺側,手根管症候群—手関節掌側,3,ドケルバン 橈側,ドケルバンは橈側で尺側は誤り
119,整形,スポーツ障害と局所施術の対象となる筋との組合せで正しいのはどれか。,シンスプリント—半腱様筋,腸脛靱帯炎—大腿筋膜張筋,鵞足炎—大腿四頭筋,ジャンパー膝—長内転筋,2,腸脛靱帯 TFL,外側痛はTFL関与
120,整形,次の文で示す患者の病態に対し、局所施術の対象となる筋はどれか。「20歳の男性。ハードル選手。練習中に右臀部に痛みを感じるようになった。股関節の他動的な内旋によって痛みは増強する。」,大腿方形筋,大腿筋膜張筋,中殿筋,梨状筋,4,梨状筋 内旋痛,股関節内旋で悪化は梨状筋
121,内科,45歳の男性。2日前からかぜ症状があったが、今朝は左眼瞼の開閉不能、食物が左口角から漏れるようになった。鼻唇溝消失がみられる。障害神経を目標に施術する場合の適切な経穴はどれか。,風府,風門,秉風,翳風,4,顔面神経麻痺 翳風,顔面神経は耳後部で翳風が対応
122,内科,次の症例について、問いに答えよ。40歳の男性。残業が続き1週間前から項部、後頭部に締め付けられるような鈍痛と肩こりがある。医療機関での検査では頭蓋内病変はないという。最も考えられる疾患はどれか。,片頭痛,筋収縮性頭痛,高血圧性頭痛,群発性頭痛,2,緊張型頭痛,締め付け＋肩こりは緊張型頭痛
123,内科,次の症例について、問いに答えよ。40歳の男性。残業が続き1週間前から項部、後頭部に締め付けられるような鈍痛と肩こりがある。医療機関での検査では頭蓋内病変はないという。鍼灸治療で適切なのはどれか。,患部の筋緊張部への刺激,頭部の血管拍動部への刺激,胃経の要穴への刺激,洞刺,1,肩こり 筋治療,筋緊張型なので筋アプローチ
124,内科,次の文で示す患者で末梢神経を直接対象として刺激するのに適した経穴はどれか。「48歳の女性。突然前額部に電撃様の痛みが発作的に数分間続いた。その後もしばしば発作が起こる。」,大迎,四白,角孫,陽白,4,三叉神経V1 陽白,前額部は三叉神経第1枝
125,内科,胸部の帯状疱疹痛について適切でない施術はどれか。,疼痛領域を囲む水平刺,発疹への直刺,罹患神経の高さで脊柱直側の置鍼,疼痛領域を挟む通電療法,2,帯状疱疹 禁忌,発疹部への直刺は禁忌
126,内科,腹痛のうち鍼灸治療が適応となるのはどれか。,著しい体重減少と食事の嗜好の変化,下痢と便秘とが交代しストレスにより増悪,嚥下困難と嚥下痛,飲酒家で心窩部の激痛と悪心,2,IBS 機能性疾患,機能性（IBS）は適応
127,内科,月経困難症に対する鍼灸治療で誤っているのはどれか。,内分泌系の機能調整をはかる,腰仙部の経穴を用いる,下腹部の刺激は避ける,三陰交を用いる,3,婦人科 三陰交,下腹部は通常むしろ使う
128,内科,神経痛と罹患神経を対象とした刺鍼経穴との組合せで適切なのはどれか。,後頭神経痛—完骨,三叉神経第2枝痛—四白,正中神経痛—小海,坐骨神経痛—風市,2,三叉神経V2 四白,上顎神経領域は四白が対応
129,内科,気管支喘息の治療目的として適切な記述はどれか。,気管支筋の緊張を緩める,副交感神経の興奮性を高める,咽頭反射を高める,気道の過敏性を高める,1,気管支拡張,気管支平滑筋弛緩が目的
130,内科,不眠に伴う症状で鍼灸治療が最も適応となるのはどれか。,睡眠倒錯,幻覚・妄想,躁うつ状態,強迫症状,1,機能性不眠,器質・精神疾患は不適応
131,内科,婦人科系の症状で鍼灸治療が最も適応するのはどれか。,過多月経,月経前緊張症,黄帯下,不正性器出血,2,PMS 機能性,PMSは機能性で適応
132,内科,次の文で示す患者の病態から考えて、罹患神経に対する局所治療として適切な経穴はどれか。「38歳女性。時々、頬部が電撃様に数分痛み涙が出る。」,迎香,大迎,攅竹,陽白,1,三叉神経V2 迎香,頬部は三叉神経第2枝領域
133,内科,末梢顔面神経麻痺における麻痺筋と治療穴との組合せで誤っているのはどれか。,前頭筋—陽白,頬筋—睛明,口輪筋—地倉,眼輪筋—承泣,2,顔面筋 対応,睛明は眼内で頬筋とは不一致
134,内科,急性胃炎の患者に対し背部兪穴を考慮して刺激する場合、適切でない経穴はどれか。,胃兪,脾兪,肝兪,膀胱兪,4,背部兪穴 消化器,膀胱兪は消化器関連でない
135,内科,円形脱毛症に対する鍼灸治療で適切でないのはどれか。,脱毛部への梅花鍼,脱毛部周囲への散鍼,脱毛部周囲への知熱灸,脱毛部への焦灼灸,4,円形脱毛症 刺激強すぎ,焦灼灸は組織障害のため不適切
136,内科,高齢者の肺気腫に対する鍼施術で気胸を起こさないよう注意しなければならない経穴はどれか。,定喘,天突,膏肓,膻中,3,気胸 膏肓 背部深刺,膏肓は肺に近接し深刺で気胸リスク
137,内科,次の文で示す症状に対し、罹患神経の刺激を目的とした治療穴として適切でないのはどれか。「耳の前方から下顎にかけて発作性に痛む。」,聴会,攅竹,頬車,大迎,2,三叉神経分枝 攅竹誤り,攅竹はV1で本症はV3領域
138,内科,顎関節症の開口障害に対し罹患部への局所治療として適切な経穴はどれか。,四白,陽白,下関,迎香,3,顎関節 下関,顎関節直上の下関が最適
139,内科,頭部の神経痛と治療穴との組合せで適切なのはどれか。,三叉神経第1枝痛—後頂,三叉神経第3枝痛—完骨,大後頭神経痛—玉枕,小後頭神経痛—百会,3,後頭神経 玉枕,大後頭神経は後頭部（玉枕）
140,内科,メニエール病に対する治療方針として適切でないのはどれか。,内耳の循環改善,視機能の改善,自律神経機能の改善,頸部の筋緊張の改善,2,メニエール 不適応,視機能は直接関係なし
141,内科,頭部の神経痛と罹患神経を対象とした治療穴との組合せで正しいのはどれか。,三叉神経第1枝痛—天柱,三叉神経第2枝痛—四白,三叉神経第3枝痛—浮白,大後頭神経痛—完骨,2,三叉神経V2 四白,V2は上顎領域で四白
142,内科,次の文で示す患者に対して循経取穴をする場合、適切な経穴はどれか。「53歳の女性。電撃性の疼痛が発作的に右下歯、下顎部にかけて走るようになった。」,合谷,陽谷,陽池,大陵,1,三叉神経V3 合谷,下顎V3領域で合谷が代表穴
143,内科,頭痛で頭部局所への刺激により血管拡張を引き起こし、症状を増悪させる恐れがあるのはどれか。,緊張型頭痛,片頭痛,変形性頚椎症による頭痛,眼精疲労による頭痛,2,片頭痛 血管拡張,片頭痛は血管性で刺激により悪化
144,内科,次の文で示す患者の病態に対する治療目的で適切でないのはどれか。「50歳の男性。中間管理職でストレスが絶えない。数日前から頭部全体に締め付けられるような鈍痛がある。」,三叉神経の興奮を抑制する,後頸部筋の過緊張を緩める,頭部の血管を拡張する,心身の安静を図る,3,緊張型頭痛 血管拡張NG,筋緊張型で血管拡張は目的でない
145,内科,末梢性顔面神経麻痺に対し、罹患神経への局所治療穴として適切なのはどれか。,玉枕,風池,完骨,翳風,4,顔面神経 翳風,顔面神経出口部は翳風
146,内科,高血圧に対し、自律神経反射を利用して鍼治療を行う場合、最も効果的な刺鍼部位はどれか。,喉頭隆起の外方,左右の乳頭を結ぶ線の中央,乳様突起と耳垂の間,第7頚椎棘突起の下,1,圧受容器反射 頸動脈洞,頸動脈洞部刺激で血圧低下
147,内科,中枢性顔面神経麻痺に対し、罹患筋への局所治療部位として適切でないのはどれか。,前頭筋部,頬筋部,眼輪筋部,口輪筋部,1,中枢性 額温存,中枢性では前頭筋保たれる
148,内科,次の文で示す患者の病態に対し、施術対象となる罹患神経はどれか。「45歳の女性。嚥下時に舌根部から下顎にかけての放散痛が数十秒間出現し、唾液分泌の亢進を伴うことがある。」,三叉神経,顔面神経,舌咽神経,舌下神経,3,舌咽神経 嚥下痛,嚥下痛＋放散は舌咽神経
149,内科,耳鳴り・難聴に対する局所治療穴として適切でないのはどれか。,四白,翳風,角孫,顴髎,1,耳疾患 局所穴,四白は眼周囲で耳とは無関係
150,内科,鍼刺激で気胸を起こさないよう注意しなければならない経穴はどれか。,身柱,膏肓,膻中,三焦兪,2,気胸 背部穴 膏肓,膏肓など背部肺近接部は深刺で危険
151,内科,罹患局所への治療を目的として陽白穴へ刺激を行う場合、対象となる顔面痛はどれか。,舌咽神経痛,三叉神経第1枝痛,三叉神経第2枝痛,三叉神経第3枝痛,2,V1 陽白,陽白は前額→三叉神経第1枝
152,内科,「30歳の男性。就眠後2〜3時間して、右眼の奥にえぐられるような激痛が、発作性・周期性に生じる。顔面紅潮、眼の充血、流涙がみられる。怒りっぽい。脈は弦数。」最も考えられる疾患はどれか。,三叉神経第1枝痛,片頭痛,群発頭痛,緊張型頭痛,3,群発頭痛 眼窩痛,周期性＋自律神経症状は群発頭痛
153,内科,末梢性顔面神経麻痺における麻痺筋と治療穴との組合せで誤っているのはどれか。,前頭筋—曲差,頬筋—顴髎,眼輪筋—四白,口輪筋—地倉,3,眼輪筋 誤対応,眼輪筋は承泣などで四白は誤り
154,内科,メニエール病のめまいに対し、三焦経の治療穴で適切なのはどれか。,頭竅陰,聴会,聴宮,耳門,4,三焦経 耳門,耳門は三焦経の耳疾患穴
155,内科,「高齢者の高血圧症の患者。夜間頻尿を主訴として来院。手足のほてり、腰の重だるさがみられる。随時血圧測定では収縮期血圧148mmHg、拡張期血圧84mmHgであった。」随時血圧測定で誤っているのはどれか。,上腕を心臓の高さにして測定する,仰臥位で測定する,コロトコフ音第1点を収縮期血圧とする,マンシェットの圧を1秒間に2mmHg程度で下げる,2,血圧測定 姿勢,通常は座位であり仰臥位は標準手法でない
156,内科,慢性副鼻腔炎に対する局所治療穴として適切なのはどれか。,和髎,瞳子髎,巨髎,素髎,3,副鼻腔炎 巨髎,上顎洞付近の巨髎が適切
157,内科,「35歳の男性。突然、左眼を閉じることができなくなり、口から唾液が漏れた。症状発現の数日前に耳介部に水疱ができ、耳の痛みを感じた。」出現する可能性のある症状はどれか。,味覚障害,斜視,顔面部の知覚障害,ホルネル症候群,1,顔面神経麻痺 味覚,顔面神経は味覚を司るため障害される
158,内科,「35歳の男性。突然、左眼を閉じることができなくなり、口から唾液が漏れた。症状発現の数日前に耳介部に水疱ができ、耳の痛みを感じた。」施術対象となる神経はどれか。,第3脳神経,第4脳神経,第6脳神経,第7脳神経,4,顔面神経 第7脳神経,顔面神経麻痺は第7脳神経障害
159,内科,「20歳の男性。急に下腿に著明な浮腫が出現した。労作性呼吸困難はなく、肝機能は正常。高度蛋白尿と高脂血症を認めた。」浮腫の機序として適切なのはどれか。,膠質浸透圧低下,心拍出量減少,門脈圧亢進,静脈圧上昇,1,ネフローゼ 浮腫,蛋白低下による膠質浸透圧低下
160,内科,「67歳の男性。数年にわたる湿性咳嗽と息切れで病院での治療を継続中である。」原因疾患として可能性の低いのはどれか。,気管支拡張症,慢性気管支炎,気管支喘息,間質性肺炎,4,慢性咳嗽 鑑別,湿性咳嗽は気道系で間質性は少ない

